dev_hr,ref_hr,ref_spo2,dev_spo2
68.80733944954129,72.0,,
87.14596949891067,88.0,,
87.84773060029282,88.0,,
81.85538881309687,80.0,,
82.70158511371467,80.0,,
81.41112618724559,80.0,,
81.63265306122449,83.0,,
91.74311926605506,83.0,,
91.11617312072892,83.0,,
85.28784648187633,94.0,,
88.95478131949592,94.0,,
93.3852140077821,94.0,,
87.65522279035793,79.0,,
94.38909281594127,79.0,,
84.4475721323012,70.0,,
69.80802792321117,70.0,,
73.30482590103848,70.0,,
99.42004971002487,98.0,,
99.39260077305356,98.0,,
100.50251256281408,98.0,,
80.86253369272237,73.0,,
82.07934336525307,73.0,,
69.24408540103866,68.0,,
85.34850640113797,68.0,,
78.68852459016394,84.0,,
81.52173913043478,84.0,,
74.44168734491315,74.0,,
74.25742574257426,74.0,,
73.61963190184049,52.0,,
76.87379884689302,58.0,,
84.50704225352113,76.0,,
86.89355539464157,76.0,,
81.85538881309687,76.0,,
75.78149668455953,60.0,,
75.7336699274219,60.0,,
87.0195794053662,84.0,,
100.95344924284915,84.0,,
74.44168734491315,71.0,,
117.41682974559687,55.0,,
82.3045267489712,80.0,,
75.99746675110829,80.0,,
87.78346744696415,80.0,,
71.4711137581894,75.0,,
75.51919446192574,75.0,,
73.03712720632988,75.0,,
79.628400796284,77.0,,
76.23888182973316,77.0,,
80.10680907877169,81.0,,
81.4663951120163,81.0,,
79.10349373764008,76.0,,
79.26023778071334,76.0,,
75.47169811320755,76.0,,
80.64516129032258,80.0,,
85.1063829787234,80.0,,
76.23888182973316,74.0,,
95.38950715421304,74.0,,
82.98755186721992,79.0,,
82.07934336525308,79.0,,
86.89355539464157,79.0,,
83.97480755773269,73.0,,
75.2823086574655,67.0,,
73.80073800738008,67.0,,
85.1063829787234,79.0,,
84.21052631578948,79.0,,
75.09386733416771,69.0,,
73.48438456827924,69.0,,
67.30229949523276,63.0,,
75.85335018963337,73.0,,
85.89835361488905,70.0,,
81.5771583956492,73.0,,
92.44992295839754,73.0,,
83.39124391938846,73.0,,
